Employee_Name,EmpID,EmpStatusID,Salary,Termd,DOB,Gender,MaritalDesc,CitizenDesc,DateofHire,DateofTermination,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,DaysLateLast30,Absences
"Adinolfi, Wilson  K",10026,1.0,62506,0,7/10/1983,M,Single,US Citizen,7/5/2011,,Exceeds,4.6,5,0,0,1
"Ait Sidi, Karthikeyan   ",10084,5.0,104437,1,5/5/1975,M,Married,US Citizen,3/30/2015,6/16/2016,Fully Meets,4.96,3,6,0,17
"Akinkuolie, Sarah",10196,5.0,64955,1,9/19/1988,F,Married,US Citizen,7/5/2011,9/24/2012,Fully Meets,3.02,3,0,0,3
"Alagbe,Trina",10088,1.0,64991,0,9/27/1988,F,Married,US Citizen,1/7/2008,,Fully Meets,4.84,5,0,0,15
"Anderson, Carol ",10069,5.0,50825,1,9/8/1989,F,Divorced,US Citizen,7/11/2011,9/6/2016,Fully Meets,5.0,4,0,0,2
"Anderson, Linda  ",10002,1.0,57568,0,5/22/1977,F,Single,US Citizen,1/9/2012,,Exceeds,5.0,5,0,0,15
"Andreola, Colby",10194,1.0,95660,0,5/24/1979,F,Single,US Citizen,11/10/2014,,Fully Meets,3.04,3,4,0,19
"Athwal, Sam",10062,1.0,59365,0,2/18/1983,M,Widowed,US Citizen,9/30/2013,,Fully Meets,5.0,4,0,0,19
"Bachiochi, Linda",10114,3.0,47837,0,2/11/1970,F,Single,US Citizen,7/6/2009,,Fully Meets,4.46,3,0,0,4
"Bacong, Alejandro ",10250,1.0,50178,0,1/7/1988,M,Divorced,US Citizen,1/5/2015,,Fully Meets,5.0,5,6,0,16
"Baczenski, Rachael  ",10252,5.0,54670,1,1/12/1974,F,Married,US Citizen,1/10/2011,1/12/2017,Fully Meets,4.2,4,0,0,12
"Barbara, Thomas",10242,5.0,47211,1,2/21/1974,M,Married,US Citizen,4/2/2012,9/19/2016,Fully Meets,4.2,3,0,0,15
"Barbossa, Hector",10012,1.0,92328,0,7/4/1988,M,Divorced,US Citizen,11/10/2014,,Exceeds,4.28,4,5,0,9
"Barone, Francesco  A",10265,1.0,58709,0,7/20/1983,M,Single,US Citizen,2/20/2012,,Fully Meets,4.6,4,0,0,7
"Barton, Nader",10066,5.0,52505,1,7/15/1977,M,Divorced,US Citizen,9/24/2012,4/6/2017,Fully Meets,5.0,5,0,0,1
"Bates, Norman",10061,4.0,57834,1,10/18/1981,M,Single,US Citizen,2/21/2011,8/4/2017,Fully Meets,5.0,4,0,0,20
"Beak, Kimberly  ",10023,2.0,70131,0,4/17/1966,F,Married,US Citizen,7/21/2016,,Exceeds,4.4,3,0,0,16
"Beatrice, Courtney ",10055,1.0,59026,0,10/27/1970,F,Single,Eligible NonCitizen,4/4/2011,,Fully Meets,5.0,5,0,0,12
"Becker, Renee",10245,4.0,110000,1,4/4/1986,F,Single,US Citizen,7/7/2014,9/12/2015,Fully Meets,4.5,4,5,0,8
